Key,Brazilian

abandoned_house_01,"Casa Abandonada 1"
abandoned_house_02,"Casa Abandonada 2"
abandoned_house_03,"Casa Abandonada 3"
abandoned_house_04,"Casa Abandonada 4"
abandoned_house_05,"Casa Abandonada 5"
abandoned_house_06,"Casa Abandonada 6"
abandoned_house_07,"Casa Abandonada 7"
abandoned_house_08,"Casa Abandonada 8"
abandonedVehicleRepairTip_title,"UL / Veículos / Reparável"
abandonedVehicleRepairTip,"Às vezes você pode encontrar um veículo que pode ser reparado. Diferentes veículos requerem diferentes tipos de kits de reparo:\nBicicleta - Kit de Reparo da Bicicleta,\nMinibike - Kit de reparo da Minibike,\nMoto -  Kit de Reparo da Moto,\nCarros - Kit de Reparo de Carro,\nCaminhão militar - Kit de Reparo de Caminhão.\n\nPara reparar um veículo [decea3]reparável[-] você precisa ter uma [decea3]Chave Inglesa[-], [decea3]Chave Catraca[-] ou [decea3]Chave de Impacto[-] e um [decea3]kit de reparo correspondente[-] em seu inventário, depois disso, aproxime-se do veículo [decea3]Reparável[-] e segure a tecla de interação (Padrão: [decea3]E[-]) e selecione a opção de reparar o veículo no menu."
actionPerkArchery,"Arcos e Bestas"
actionPerkArchery1,"Dano, Mira, Desmembramento [decea3]+5%[-]\nDano de Tiro na Cabeça [decea3]+10%[-]\nVelocidade de Recarga e Saque [decea3]+5%[-]"
actionPerkArchery2,"Dano, Mira, Desmembramento [decea3]+10%[-]\nDano de Tiro na Cabeça [decea3]+20%[-]\nVelocidade de Recarga e Saque [decea3]+10%[-]"
actionPerkArchery3,"Dano, Mira, Desmembramento [decea3]+15%[-]\nDano de Tiro na Cabeça [decea3]+30%[-]\nVelocidade de Recarga e Saque [decea3]+15%[-]"
actionPerkArchery4,"Dano, Mira, Desmembramento [decea3]+20%[-]\nDano de Tiro na Cabeça [decea3]+40%[-]\nVelocidade de Recarga e Saque [decea3]+20%[-]"
actionPerkArchery5,"Dano, Mira, Desmembramento [decea3]+25%[-]\nDano de Tiro na Cabeça [decea3]+50%[-]\nVelocidade de Recarga e Saque [decea3]+25%[-]"
actionPerkAssasin,"Assassino"
actionPerkAssasin1,"Ataques furtivos causam [decea3]20%[-] mais dano"
actionPerkAssasin2,"Ataques furtivos causam [decea3]40%[-] mais dano"
actionPerkAssasin3,"Ataques furtivos causam [decea3]60%[-] mais dano"
actionPerkAssasin4,"Ataques furtivos causam [decea3]80%[-] mais dano"
actionPerkAssasin5,"Ataques furtivos causam [decea3]100%[-] mais dano"
actionPerkAssaultRifles,"Metralhadoras"
actionPerkAssaultRifles1,"Dano, Mira, Desmembramento [decea3]+5%[-]\nDano de Tiro na Cabeça [decea3]+10%[-]\nVelocidade de Recarga [decea3]+2%[-]\n[decea3]Desbloqueia fabricação de munição de 5,56mm de ponta oca [-]"
